,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
401,10.0,83.0,,1.0,23.0,16.0,9.0,,152.0,5.0,82.0,43.0,3.0,62.0,1.0,101.0,241.0,13.0,66.0,302.0,1.0,,1.0,,4.0,3.0,42.0,93.0,,234.0,96.0,,7.0,103.0,
402,10.0,86.0,,5.0,24.0,16.0,9.0,,219.0,5.0,87.0,43.0,3.0,62.0,1.0,110.0,265.0,13.0,99.0,335.0,1.0,,1.0,,4.0,3.0,46.0,108.0,,234.0,107.0,,7.0,113.0,
403,10.0,132.0,1.0,16.0,24.0,18.0,9.0,,219.0,6.0,87.0,43.0,6.0,70.0,2.0,124.0,286.0,14.0,99.0,335.0,2.0,,1.0,,5.0,3.0,46.0,133.0,,309.0,107.0,,10.0,113.0,53.0
404,10.0,161.0,1.0,24.0,29.0,18.0,9.0,,386.0,6.0,95.0,49.0,6.0,75.0,2.0,128.0,295.0,14.0,104.0,423.0,2.0,,1.0,,5.0,5.0,53.0,179.0,,411.0,158.0,,16.0,174.0,
405,10.0,161.0,1.0,24.0,30.0,18.0,9.0,,445.0,7.0,105.0,49.0,6.0,92.0,2.0,144.0,306.0,14.0,104.0,490.0,2.0,,1.0,,20.0,5.0,57.0,200.0,,485.0,269.0,,22.0,227.0,69.0
406,10.0,226.0,1.0,26.0,30.0,18.0,9.0,,503.0,7.0,122.0,84.0,13.0,106.0,3.0,151.0,314.0,14.0,165.0,690.0,2.0,,1.0,,21.0,5.0,68.0,253.0,,571.0,321.0,,26.0,227.0,80.0
407,10.0,266.0,1.0,26.0,32.0,18.0,10.0,,523.0,7.0,144.0,90.0,13.0,109.0,4.0,151.0,327.0,14.0,165.0,748.0,2.0,,1.0,,21.0,5.0,76.0,288.0,,621.0,321.0,1.0,31.0,305.0,91.0
408,10.0,305.0,1.0,27.0,38.0,18.0,10.0,,576.0,7.0,165.0,147.0,18.0,116.0,4.0,175.0,336.0,14.0,229.0,1018.0,2.0,,1.0,,42.0,5.0,91.0,328.0,,690.0,364.0,1.0,31.0,326.0,99.0
409,11.0,348.0,1.0,28.0,39.0,18.0,10.0,,669.0,7.0,179.0,169.0,18.0,158.0,13.0,181.0,345.0,14.0,259.0,1135.0,2.0,,1.0,,42.0,5.0,101.0,383.0,,738.0,442.0,1.0,35.0,410.0,103.0
410,11.0,363.0,1.0,29.0,60.0,18.0,10.0,,898.0,7.0,241.0,169.0,28.0,184.0,13.0,197.0,357.0,15.0,259.0,1364.0,2.0,,1.0,,44.0,5.0,132.0,463.0,,834.0,473.0,1.0,35.0,431.0,116.0
411,11.0,381.0,1.0,29.0,60.0,18.0,18.0,,903.0,7.0,308.0,177.0,28.0,207.0,17.0,214.0,364.0,15.0,443.0,1574.0,2.0,,1.0,,48.0,7.0,132.0,553.0,,911.0,504.0,2.0,35.0,433.0,126.0
412,11.0,381.0,1.0,29.0,64.0,19.0,25.0,,1069.0,7.0,432.0,185.0,32.0,224.0,17.0,226.0,374.0,15.0,564.0,1761.0,2.0,,1.0,,54.0,7.0,151.0,700.0,,969.0,504.0,2.0,35.0,452.0,134.0
413,11.0,427.0,1.0,29.0,64.0,21.0,31.0,,1154.0,7.0,516.0,185.0,32.0,245.0,19.0,232.0,376.0,15.0,564.0,1985.0,2.0,,1.0,,54.0,7.0,151.0,804.0,,1043.0,504.0,2.0,35.0,483.0,152.0
414,11.0,473.0,1.0,31.0,66.0,21.0,31.0,,1510.0,7.0,617.0,199.0,32.0,270.0,24.0,258.0,379.0,15.0,730.0,2337.0,2.0,1.0,1.0,1.0,55.0,7.0,176.0,879.0,,1173.0,624.0,2.0,35.0,657.0,190.0
415,11.0,483.0,1.0,32.0,66.0,21.0,33.0,,1561.0,7.0,650.0,199.0,33.0,278.0,27.0,260.0,387.0,17.0,730.0,2687.0,2.0,1.0,1.0,0.0,60.0,7.0,176.0,969.0,,1204.0,624.0,2.0,37.0,660.0,213.0
416,11.0,525.0,1.0,33.0,70.0,21.0,33.0,,1578.0,7.0,766.0,205.0,35.0,300.0,28.0,279.0,388.0,17.0,987.0,2916.0,2.0,7.0,1.0,0.0,60.0,7.0,186.0,1023.0,,1242.0,647.0,2.0,37.0,735.0,231.0
417,11.0,572.0,1.0,35.0,83.0,21.0,36.0,,1640.0,7.0,1021.0,205.0,35.0,314.0,29.0,353.0,395.0,18.0,1308.0,3205.0,2.0,9.0,1.0,0.0,60.0,7.0,186.0,1131.0,,1267.0,743.0,2.0,37.0,846.0,255.0
418,12.0,603.0,1.0,35.0,85.0,21.0,36.0,,1707.0,7.0,1272.0,225.0,38.0,328.0,33.0,371.0,396.0,18.0,1355.0,3323.0,2.0,11.0,1.0,0.0,60.0,7.0,202.0,1229.0,,1323.0,791.0,2.0,42.0,969.0,287.0
419,14.0,603.0,1.0,35.0,86.0,23.0,36.0,,1893.0,7.0,1604.0,233.0,39.0,341.0,35.0,384.0,400.0,18.0,1407.0,3651.0,2.0,11.0,1.0,0.0,61.0,7.0,219.0,1351.0,,1372.0,844.0,2.0,42.0,1084.0,
420,15.0,722.0,1.0,35.0,96.0,26.0,36.0,,2003.0,7.0,1851.0,233.0,39.0,350.0,42.0,395.0,402.0,18.0,1485.0,4203.0,2.0,11.0,1.0,0.0,68.0,7.0,219.0,1478.0,,1477.0,873.0,2.0,44.0,1176.0,
421,16.0,757.0,1.0,35.0,114.0,26.0,36.0,,2081.0,7.0,2066.0,254.0,39.0,368.0,46.0,415.0,408.0,18.0,1540.0,4669.0,2.0,11.0,1.0,0.0,74.0,7.0,245.0,1576.0,,1520.0,919.0,2.0,46.0,1294.0,
422,17.0,813.0,1.0,35.0,126.0,27.0,36.0,,2156.0,7.0,2272.0,254.0,39.0,380.0,45.0,425.0,427.0,18.0,1592.0,5221.0,2.0,12.0,1.0,,82.0,7.0,251.0,1801.0,,1596.0,945.0,2.0,46.0,1412.0,423.0
423,18.0,895.0,1.0,35.0,148.0,27.0,36.0,,2248.0,7.0,2407.0,262.0,40.0,407.0,49.0,443.0,438.0,18.0,1695.0,5652.0,2.0,12.0,1.0,,83.0,7.0,277.0,1890.0,,1629.0,960.0,2.0,46.0,1509.0,456.0
424,22.0,955.0,1.0,36.0,176.0,27.0,36.0,,2376.0,7.0,2624.0,272.0,40.0,427.0,55.0,463.0,448.0,18.0,1852.0,6430.0,2.0,12.0,1.0,,90.0,7.0,277.0,1964.0,,1683.0,984.0,2.0,47.0,1604.0,514.0
425,27.0,1061.0,1.0,36.0,228.0,28.0,36.0,,2514.0,7.0,2815.0,272.0,40.0,454.0,59.0,489.0,451.0,20.0,1952.0,6817.0,2.0,12.0,1.0,,94.0,7.0,298.0,2034.0,,1755.0,984.0,2.0,48.0,1778.0,571.0
426,33.0,1097.0,1.0,36.0,251.0,30.0,37.0,,2625.0,7.0,3071.0,289.0,40.0,494.0,67.0,501.0,458.0,20.0,2096.0,7628.0,2.0,12.0,1.0,,103.0,7.0,298.0,2083.0,,1821.0,991.0,2.0,50.0,1843.0,611.0
427,33.0,1177.0,1.0,36.0,277.0,30.0,37.0,,2918.0,7.0,3301.0,289.0,40.0,523.0,82.0,511.0,469.0,20.0,2168.0,8068.0,2.0,12.0,1.0,,108.0,8.0,313.0,2185.0,,1885.0,1002.0,2.0,51.0,1955.0,649.0
