,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
401,1.0,0.0,,0.0,0.0,0.0,2.0,,6.0,0.0,5.0,21.0,0.0,2.0,0.0,8.0,23.0,3.0,0.0,39.0,0.0,,0.0,,0.0,1.0,1.0,3.0,,6.0,1.0,,2.0,14.0,
402,0.0,1.0,,0.0,0.0,0.0,2.0,,8.0,0.0,8.0,21.0,1.0,2.0,0.0,9.0,25.0,3.0,0.0,42.0,0.0,,0.0,,0.0,1.0,1.0,3.0,,6.0,1.0,,2.0,14.0,
403,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,8.0,0.0,8.0,21.0,1.0,3.0,0.0,10.0,27.0,3.0,0.0,42.0,0.0,,0.0,,0.0,1.0,1.0,3.0,,6.0,1.0,,2.0,14.0,3.0
404,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,8.0,0.0,10.0,24.0,1.0,3.0,0.0,12.0,41.0,3.0,0.0,42.0,0.0,,0.0,,0.0,1.0,1.0,3.0,,6.0,1.0,,2.0,19.0,
405,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,15.0,0.0,14.0,24.0,1.0,4.0,0.0,12.0,49.0,10.0,0.0,42.0,0.0,,0.0,,0.0,1.0,1.0,21.0,,6.0,32.0,,2.0,19.0,10.0
406,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,18.0,0.0,18.0,25.0,1.0,4.0,0.0,12.0,55.0,10.0,0.0,42.0,0.0,,0.0,,2.0,1.0,4.0,21.0,,8.0,34.0,,4.0,19.0,10.0
407,0.0,1.0,0.0,0.0,0.0,0.0,8.0,,19.0,0.0,22.0,25.0,2.0,4.0,0.0,12.0,58.0,10.0,0.0,56.0,0.0,,0.0,,2.0,1.0,4.0,21.0,,8.0,34.0,0.0,5.0,21.0,13.0
408,0.0,1.0,0.0,0.0,0.0,7.0,9.0,,21.0,0.0,25.0,28.0,2.0,4.0,0.0,25.0,70.0,10.0,0.0,79.0,0.0,,0.0,,2.0,1.0,4.0,21.0,,19.0,35.0,0.0,5.0,21.0,13.0
409,0.0,6.0,0.0,0.0,0.0,7.0,9.0,,21.0,0.0,25.0,29.0,2.0,4.0,0.0,28.0,83.0,10.0,0.0,117.0,1.0,,0.0,,2.0,1.0,4.0,21.0,,21.0,35.0,0.0,5.0,31.0,16.0
410,0.0,7.0,0.0,0.0,0.0,7.0,9.0,,25.0,1.0,26.0,29.0,6.0,6.0,0.0,30.0,96.0,10.0,0.0,125.0,1.0,,0.0,,2.0,1.0,5.0,21.0,,21.0,35.0,0.0,5.0,32.0,16.0
411,0.0,11.0,0.0,0.0,0.0,7.0,9.0,,25.0,1.0,31.0,29.0,6.0,6.0,0.0,37.0,123.0,10.0,0.0,188.0,1.0,,0.0,,2.0,1.0,5.0,21.0,,44.0,43.0,0.0,5.0,32.0,16.0
412,10.0,11.0,0.0,0.0,19.0,7.0,10.0,,25.0,5.0,44.0,29.0,6.0,6.0,0.0,37.0,142.0,10.0,0.0,208.0,1.0,,0.0,,12.0,1.0,5.0,21.0,,44.0,43.0,0.0,5.0,45.0,19.0
413,10.0,11.0,0.0,0.0,19.0,7.0,10.0,,27.0,5.0,44.0,29.0,13.0,6.0,0.0,57.0,179.0,10.0,0.0,217.0,1.0,,0.0,,12.0,1.0,5.0,21.0,,50.0,43.0,0.0,5.0,46.0,29.0
414,10.0,14.0,0.0,0.0,26.0,7.0,10.0,,30.0,5.0,55.0,34.0,13.0,16.0,0.0,65.0,198.0,10.0,51.0,229.0,1.0,0.0,0.0,0.0,18.0,1.0,14.0,133.0,,58.0,100.0,0.0,7.0,49.0,36.0
415,10.0,16.0,0.0,0.0,29.0,7.0,13.0,,30.0,5.0,59.0,34.0,13.0,30.0,0.0,71.0,211.0,10.0,51.0,259.0,1.0,0.0,0.0,0.0,18.0,1.0,14.0,147.0,,81.0,100.0,0.0,9.0,50.0,37.0
416,10.0,20.0,0.0,0.0,29.0,7.0,17.0,,40.0,5.0,64.0,43.0,16.0,36.0,0.0,80.0,218.0,10.0,64.0,295.0,1.0,0.0,0.0,0.0,18.0,1.0,27.0,147.0,,118.0,120.0,1.0,9.0,51.0,42.0
417,10.0,36.0,0.0,5.0,37.0,9.0,23.0,,51.0,6.0,74.0,43.0,16.0,38.0,0.0,82.0,245.0,14.0,65.0,300.0,1.0,0.0,0.0,0.0,19.0,1.0,27.0,164.0,,180.0,186.0,1.0,9.0,74.0,51.0
418,11.0,42.0,0.0,9.0,37.0,9.0,24.0,,72.0,6.0,88.0,43.0,16.0,42.0,0.0,92.0,255.0,14.0,69.0,331.0,1.0,0.0,0.0,0.0,21.0,3.0,27.0,183.0,,283.0,186.0,1.0,9.0,86.0,55.0
419,11.0,42.0,0.0,12.0,37.0,10.0,24.0,,72.0,6.0,94.0,87.0,16.0,51.0,0.0,104.0,257.0,14.0,127.0,365.0,1.0,0.0,0.0,0.0,24.0,3.0,31.0,183.0,,365.0,186.0,1.0,9.0,108.0,
420,11.0,92.0,0.0,17.0,42.0,13.0,25.0,,290.0,7.0,106.0,87.0,16.0,56.0,0.0,111.0,270.0,14.0,127.0,507.0,2.0,0.0,0.0,0.0,24.0,3.0,31.0,183.0,,411.0,190.0,1.0,11.0,129.0,
