,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
401,0.0,0.0,,0.0,1.0,0.0,0.0,,2.0,0.0,6.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,3.0,9.0,0.0,,0.0,,0.0,0.0,3.0,0.0,,1.0,3.0,,0.0,2.0,
402,0.0,1.0,,0.0,1.0,0.0,0.0,,4.0,0.0,7.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,6.0,13.0,0.0,,0.0,,0.0,0.0,4.0,0.0,,1.0,3.0,,0.0,2.0,
403,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,4.0,0.0,7.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,6.0,16.0,0.0,,0.0,,0.0,0.0,4.0,0.0,,1.0,3.0,,0.0,2.0,3.0
404,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,6.0,0.0,9.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,6.0,19.0,0.0,,0.0,,0.0,0.0,5.0,0.0,,1.0,7.0,,0.0,2.0,
405,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,6.0,24.0,0.0,,0.0,,0.0,0.0,5.0,0.0,,3.0,7.0,,0.0,2.0,3.0
406,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,7.0,0.0,11.0,1.0,1.0,2.0,0.0,4.0,2.0,0.0,9.0,45.0,0.0,,0.0,,0.0,0.0,6.0,0.0,,5.0,7.0,,0.0,2.0,3.0
407,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,7.0,0.0,12.0,1.0,1.0,2.0,0.0,4.0,2.0,0.0,9.0,45.0,0.0,,0.0,,0.0,0.0,6.0,3.0,,5.0,7.0,0.0,0.0,3.0,3.0
408,0.0,4.0,0.0,0.0,1.0,0.0,0.0,,9.0,0.0,13.0,3.0,1.0,2.0,0.0,4.0,2.0,0.0,13.0,64.0,0.0,,0.0,,1.0,0.0,7.0,3.0,,7.0,7.0,0.0,0.0,3.0,5.0
409,0.0,4.0,0.0,0.0,1.0,0.0,0.0,,9.0,0.0,16.0,3.0,1.0,4.0,0.0,5.0,2.0,0.0,16.0,72.0,0.0,,0.0,,1.0,0.0,8.0,3.0,,8.0,7.0,0.0,0.0,4.0,5.0
410,0.0,6.0,0.0,0.0,1.0,0.0,0.0,,13.0,0.0,17.0,3.0,1.0,4.0,1.0,6.0,2.0,0.0,16.0,97.0,0.0,,0.0,,1.0,0.0,11.0,3.0,,8.0,7.0,0.0,0.0,4.0,5.0
411,0.0,6.0,0.0,1.0,1.0,0.0,0.0,,14.0,0.0,19.0,3.0,1.0,4.0,1.0,6.0,2.0,0.0,33.0,110.0,0.0,,0.0,,1.0,0.0,11.0,3.0,,8.0,9.0,0.0,0.0,4.0,5.0
412,0.0,6.0,0.0,1.0,1.0,0.0,0.0,,19.0,0.0,22.0,3.0,1.0,4.0,1.0,6.0,2.0,0.0,36.0,127.0,0.0,,0.0,,1.0,0.0,11.0,3.0,,10.0,9.0,0.0,0.0,5.0,5.0
413,0.0,7.0,0.0,1.0,1.0,0.0,0.0,,24.0,0.0,25.0,3.0,1.0,4.0,2.0,6.0,2.0,0.0,36.0,149.0,0.0,,0.0,,1.0,0.0,11.0,3.0,,11.0,9.0,0.0,0.0,5.0,7.0
414,0.0,9.0,0.0,1.0,1.0,0.0,0.0,,28.0,0.0,26.0,3.0,1.0,4.0,2.0,9.0,3.0,0.0,50.0,160.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,3.0,,11.0,17.0,0.0,0.0,5.0,7.0
415,0.0,9.0,0.0,1.0,1.0,0.0,0.0,,30.0,0.0,28.0,3.0,1.0,4.0,2.0,10.0,3.0,0.0,50.0,178.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,3.0,,12.0,17.0,0.0,0.0,5.0,7.0
416,0.0,14.0,0.0,1.0,1.0,0.0,0.0,,32.0,0.0,33.0,3.0,1.0,4.0,2.0,12.0,3.0,0.0,53.0,187.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,3.0,,14.0,18.0,0.0,0.0,11.0,7.0
417,0.0,14.0,0.0,1.0,1.0,0.0,0.0,,38.0,0.0,38.0,3.0,1.0,4.0,2.0,13.0,3.0,0.0,57.0,194.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,11.0,,15.0,18.0,0.0,0.0,14.0,10.0
418,0.0,15.0,0.0,1.0,2.0,0.0,0.0,,42.0,0.0,48.0,3.0,1.0,5.0,2.0,13.0,3.0,0.0,69.0,201.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,11.0,,15.0,18.0,0.0,0.0,14.0,10.0
419,0.0,15.0,0.0,1.0,2.0,0.0,0.0,,43.0,0.0,58.0,3.0,1.0,5.0,2.0,14.0,3.0,0.0,70.0,211.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,11.0,,15.0,18.0,0.0,0.0,17.0,
420,0.0,20.0,0.0,1.0,2.0,0.0,0.0,,45.0,0.0,67.0,3.0,1.0,5.0,2.0,16.0,3.0,0.0,74.0,223.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,14.0,,15.0,21.0,0.0,0.0,17.0,
421,0.0,22.0,0.0,1.0,2.0,0.0,0.0,,47.0,0.0,77.0,3.0,1.0,5.0,2.0,17.0,3.0,0.0,76.0,232.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,25.0,,17.0,23.0,0.0,0.0,20.0,
422,0.0,24.0,0.0,1.0,2.0,0.0,0.0,,47.0,0.0,95.0,3.0,1.0,5.0,3.0,17.0,3.0,0.0,80.0,251.0,0.0,1.0,0.0,,1.0,0.0,16.0,25.0,,18.0,23.0,0.0,0.0,21.0,15.0
423,0.0,27.0,0.0,1.0,2.0,0.0,0.0,,48.0,0.0,103.0,3.0,1.0,5.0,3.0,17.0,3.0,0.0,81.0,269.0,0.0,1.0,0.0,,1.0,0.0,16.0,27.0,,18.0,24.0,0.0,0.0,21.0,15.0
424,0.0,29.0,0.0,1.0,2.0,0.0,0.0,,50.0,0.0,112.0,3.0,1.0,5.0,3.0,18.0,3.0,0.0,83.0,283.0,0.0,1.0,0.0,,1.0,0.0,16.0,27.0,,20.0,26.0,0.0,0.0,24.0,15.0
425,0.0,31.0,0.0,1.0,2.0,0.0,0.0,,53.0,0.0,127.0,3.0,1.0,5.0,3.0,18.0,4.0,0.0,92.0,301.0,0.0,1.0,0.0,,1.0,0.0,17.0,27.0,,22.0,26.0,0.0,0.0,26.0,18.0
426,0.0,31.0,0.0,1.0,2.0,0.0,0.0,,54.0,0.0,133.0,3.0,1.0,6.0,3.0,18.0,4.0,0.0,99.0,323.0,0.0,1.0,0.0,,1.0,0.0,17.0,33.0,,23.0,26.0,0.0,0.0,29.0,18.0
427,0.0,31.0,0.0,1.0,2.0,0.0,0.0,,54.0,0.0,151.0,3.0,1.0,6.0,3.0,20.0,4.0,0.0,106.0,342.0,0.0,1.0,0.0,,1.0,0.0,18.0,41.0,,24.0,26.0,0.0,0.0,31.0,20.0
428,0.0,31.0,0.0,1.0,2.0,0.0,0.0,,54.0,0.0,162.0,3.0,1.0,7.0,3.0,20.0,4.0,0.0,113.0,369.0,0.0,1.0,0.0,,1.0,0.0,18.0,46.0,,24.0,26.0,0.0,0.0,31.0,20.0
429,0.0,31.0,0.0,1.0,2.0,0.0,0.0,,54.0,0.0,181.0,3.0,1.0,8.0,3.0,20.0,4.0,0.0,119.0,400.0,0.0,1.0,0.0,,1.0,0.0,19.0,51.0,,25.0,26.0,0.0,0.0,36.0,22.0
430,0.0,31.0,0.0,1.0,2.0,0.0,0.0,,56.0,0.0,197.0,3.0,1.0,8.0,3.0,21.0,4.0,0.0,129.0,432.0,0.0,1.0,0.0,,1.0,0.0,19.0,51.0,,27.0,26.0,0.0,0.0,39.0,22.0
501,0.0,33.0,0.0,1.0,2.0,0.0,0.0,,59.0,0.0,214.0,3.0,1.0,8.0,3.0,22.0,4.0,0.0,137.0,459.0,0.0,1.0,0.0,,1.0,0.0,19.0,58.0,,27.0,26.0,0.0,0.0,41.0,33.0
502,0.0,33.0,0.0,1.0,3.0,0.0,0.0,,61.0,0.0,236.0,4.0,1.0,8.0,3.0,22.0,4.0,0.0,145.0,485.0,0.0,1.0,0.0,,1.0,0.0,19.0,62.0,,28.0,26.0,0.0,0.0,42.0,33.0
503,0.0,33.0,0.0,1.0,4.0,0.0,0.0,,64.0,0.0,262.0,4.0,1.0,8.0,3.0,25.0,4.0,0.0,156.0,521.0,0.0,1.0,0.0,,1.0,0.0,20.0,65.0,,29.0,28.0,0.0,0.0,43.0,33.0
504,0.0,36.0,0.0,1.0,4.0,0.0,0.0,,64.0,0.0,290.0,5.0,1.0,8.0,3.0,26.0,4.0,0.0,165.0,548.0,0.0,1.0,0.0,,1.0,0.0,21.0,71.0,,30.0,29.0,0.0,1.0,45.0,35.0
505,0.0,36.0,0.0,1.0,4.0,1.0,0.0,,64.0,0.0,319.0,6.0,1.0,8.0,3.0,28.0,4.0,0.0,176.0,583.0,0.0,1.0,0.0,,1.0,0.0,23.0,77.0,,31.0,29.0,0.0,1.0,53.0,133.0
506,0.0,36.0,0.0,1.0,4.0,1.0,0.0,0.0,64.0,0.0,368.0,6.0,2.0,8.0,3.0,29.0,4.0,0.0,176.0,617.0,0.0,1.0,0.0,,1.0,0.0,25.0,89.0,,33.0,29.0,0.0,1.0,56.0,140.0
507,0.0,36.0,0.0,1.0,4.0,1.0,0.0,0.0,65.0,0.0,396.0,7.0,2.0,8.0,3.0,29.0,4.0,0.0,185.0,651.0,0.0,1.0,0.0,,2.0,0.0,27.0,92.0,,35.0,29.0,0.0,1.0,60.0,144.0
509,0.0,41.0,0.0,1.0,5.0,1.0,0.0,0.0,68.0,0.0,449.0,8.0,2.0,9.0,3.0,30.0,4.0,0.0,200.0,731.0,0.0,1.0,0.0,,2.0,0.0,29.0,101.0,,40.0,29.0,0.0,1.0,66.0,160.0
512,0.0,45.0,0.0,2.0,6.0,2.0,0.0,0.0,73.0,0.0,493.0,10.0,2.0,9.0,3.0,31.0,4.0,0.0,215.0,832.0,0.0,1.0,0.0,,3.0,0.0,31.0,107.0,,47.0,30.0,0.0,1.0,74.0,185.0
